Operator Code,Operator Name,Telephony Name,Country Name,Country Code,Last Modified,AIRAC
...,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION  (WASHINGTON, DC)",NASA,UNITED STATES,USA,07-Sep-1989,05-09-2024
...,DEPARTMENT OF ENERGY,ENERGY,UNITED STATES,USA,04-Jul-2007,05-09-2024
...,FEDERAL EMERGENCY MANAGEMENT AGENCY,FEMA,UNITED STATES,USA,04-Jul-2007,05-09-2024
ABU,"EAGLE AVIATION SERVICES, INC. (FT. WORTH, TX)",-,UNITED STATES,USA,19-Sep-2007,05-09-2024
ABX,"ABX AIR, INC. (WILMINGTON, OH)",ABEX,UNITED STATES,USA,04-Jul-2011,05-09-2024
ACD,"ACADEMY AIRLINES (GRIFFIN, GA)",ACADEMY,UNITED STATES,USA,07-Sep-1989,05-09-2024
ACE,AVIATION ACES,SKY ACE,UNITED STATES,USA,09-May-2019,05-09-2024
ACK,"NANTUCKET AIRLINES (NANTUCKET, MA)",ACK AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
ACO,"AIR CHOICE ONE (ST. LOUIS, MO)",WEBER,UNITED STATES,USA,04-Feb-2019,05-09-2024
ACT,"FLIGHT LINE, INC. (DENVER, CO)",AMERICAN CHECK,UNITED STATES,USA,19-Dec-1990,05-09-2024
AFV,AVFINITY,+,UNITED STATES,USA,07-Jan-2015,05-09-2024
AGM,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)",ANGEL MED,UNITED STATES,USA,12-Jan-2015,05-09-2024
AHF,"ASPEN HELICOPTERS, INC. (OXNARD, CA)",ASPEN,UNITED STATES,USA,28-Jul-1998,05-09-2024
AMF,"AMERIFLIGHT, INC. (BURBANK, CA)",AMFLIGHT,UNITED STATES,USA,07-Sep-1989,05-09-2024
AMI,"AIR AMERICA, INC. (CAROLINA, PR)",AIRMEK,UNITED STATES,USA,09-Jan-2012,05-09-2024
AMR,"AIR SPECIALTIES CORPORATION D/B/A/ AIR  AMERICA/TOTAL AIR (LOS ANGELES, CA)",AIR AM,UNITED STATES,USA,07-Sep-1989,05-09-2024
ASQ,EXPRESSJET AIRLINES,ACEY,UNITED STATES,USA,16-Aug-2018,05-09-2024
ASZ,"ASCENSION AIR MANAGEMENT, INC. (ATLANTA, GA)",ASCENSION,UNITED STATES,USA,20-Apr-2012,05-09-2024
ATA,"AIR TRANSPORT ASSOCIATION OF AMERICA (WASHINGTON, DC)",-,UNITED STATES,USA,02-Oct-1992,05-09-2024
ATN,"AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)",AIR TRANSPORT,UNITED STATES,USA,11-Sep-2002,05-09-2024
AUD,"TRANS NORTHERN AIRWAYS, LLC",GENIE,UNITED STATES,USA,20-Mar-2018,05-09-2024
AXQ,ACTION AIRLINES (ACTION AIR CHARTER),ACTION AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
AXR,ARCHER AIR LLC,+,UNITED STATES,USA,31-Oct-2023,05-09-2024
AYA,"FEDERAL AVIATION ADMINISTRATION (FAA) ACADEMY  (OKLAHOMA CITY, OK)",ACADEMY AIR,UNITED STATES,USA,08-Jul-1992,05-09-2024
BHR,"BIGHORN AIRWAYS, INC. (SHERIDAN, WY)",BIGHORN AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
BIA,BOHLKE INTERNATIONAL AIRWAYS,BOHLKE,UNITED STATES,USA,27-Mar-2018,05-09-2024
BIG,"BIG ISLAND AIR, INC. (KAILUA - KONA, HI)",BIG ISLE,UNITED STATES,USA,07-Sep-1989,05-09-2024
BIN,"BOISE INTERAGENCY FIRE CENTER (BOISE, ID)",BISON-AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
BIR,"BIRD LEASING, INC. (NORTH ANDOVER, MA)",BIRD AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
BIT,"NORTHEAST AVIATION, INC. (LANSING, IL)",RUN BITTY,UNITED STATES,USA,08-Dec-2006,05-09-2024
BJK,"ATLANTIC AIRLINES (ORLANDO, FL)",BLACKJACK,UNITED STATES,USA,23-Aug-1991,05-09-2024
BJS,"BUSINESS JET SOLUTIONS (DALLAS, TX)",SOLUTION,UNITED STATES,USA,24-Feb-2000,05-09-2024
BJT,"ACM AVIATION, INC. (SAN JOSE, CA)",BAY JET,UNITED STATES,USA,13-May-2003,05-09-2024
BKA,"BANKAIR, INC. (WEST COLUMBIA, SC)",BANKAIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
BKB,"STATE OF WEST VIRGINIA, AVIATION DIVISION (CHARLESTON, WV) ",BLACK BEAR,UNITED STATES,USA,28-Sep-2006,05-09-2024
BKE,"AIRBROCK MANAGEMENT & CHARTER SERVICES, INC.",AIR BROCK,UNITED STATES,USA,12-May-2021,05-09-2024
BKJ,"BARKEN INTERNATIONAL, INC. (SALT LAKE CITY, UT)",BARKEN JET,UNITED STATES,USA,07-Sep-1989,05-09-2024
BKM,"ADVISORS AVIATION (ST. LOUIS, MO)",CARDINAL,UNITED STATES,USA,27-May-2011,05-09-2024
BKN,SAINT LOUIS UNIVERSITY,BILLIKEN,UNITED STATES,USA,22-Aug-2022,05-09-2024
BZY,"FRESH AIR AVIATION (CHARLEVOIX, MI)",BREEZY,UNITED STATES,USA,12-Jan-2015,05-09-2024
CAB,"CHESAPEAKE AIR SERVICE (PASADENA, MD)",CHESAPEAKE AIR,UNITED STATES,USA,17-Sep-1990,05-09-2024
CAC,"CONQUEST AIRLINES (BEAUMONT, TX)",CONQUEST AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
CAK,SOUTHWEST AIRCRAFT CHARTER,CACTUS,UNITED STATES,USA,10-Jul-2020,05-09-2024
CAM,"VILLAGE AVIATION, INC. D/B/A CAMAI-AIR (BETHEL, AK)",AIR CAMAI,UNITED STATES,USA,17-Apr-1991,05-09-2024
CAP,"UNITED STATES AIR FORCE AUXILIARY / CIVIL AIR PATROL  (RICHMOND, VA)",CAP,UNITED STATES,USA,05-Aug-2010,05-09-2024
CAS,"CHRISTMAN AIR SYSTEM (WASHINGTON, PA)",CHRISTMAN,UNITED STATES,USA,07-Sep-1989,05-09-2024
CBC,"LONGHORN AVIATION, LLC",SKY SHARE,UNITED STATES,USA,23-Mar-2023,05-09-2024
CBD,"LOCKHEED MARTIN AERONAUTICS  (FORT WORTH, TX)",CATBIRD,UNITED STATES,USA,04-Jun-2004,05-09-2024
CBH,"CORPORATE EAGLE MANAGEMENT SERVICES, INC. (WATERFORD, MI)",CLUB HOUSE,UNITED STATES,USA,10-Oct-2014,05-09-2024
CBN,"SOUTHERN ILLINOIS UNIVERSITY D/B/A FLIGHT SCHOOL (MURPHYSBORO, IL)",CARBONDALE,UNITED STATES,USA,25-Jul-2014,05-09-2024
CLR,"TRANS AMERICA (ENGLEWOOD, CO)",CLINTON AIRWAYS,UNITED STATES,USA,07-Sep-1989,05-09-2024
CLY,"CLAY LACY AVIATION (SEATTLE, WA)",CLAY-LACY,UNITED STATES,USA,21-Apr-2006,05-09-2024
CMB,US TRANSPORTATION COMMAND,CAMBER,UNITED STATES,USA,23-Oct-2009,05-09-2024
CMD,CALSTAR,CALSTAR MED,UNITED STATES,USA,22-Apr-2009,05-09-2024
CME,COMMERCE BANK,COMMERCE BANK,UNITED STATES,USA,25-Jun-2014,05-09-2024
CMF,"AIR CARE ALLIANCE (STORRS, CT)",COMPASSION,UNITED STATES,USA,09-Apr-1999,05-09-2024
CMI,"CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)",AIR MIKE,UNITED STATES,USA,16-Dec-1992,05-09-2024
CMN,"ECKLES AIRCRAFT CO. (HOLDENVILLE, OK)",CIMMARON AIRE,UNITED STATES,USA,01-Nov-1994,05-09-2024
CMT,"CASEMENT AVIATION (PLAINESVILLE, OH)",CASEMENT,UNITED STATES,USA,07-Sep-1989,05-09-2024
CNG,"COASTAL AIRWAYS (GULFPORT, MS)",SID-AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
CNL,"CENTENNIAL AIRLINES, INC. (LARAMIE, WY)",WYO-AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
CNR,"CONDOR AERO SERVICES, INC. (CULLMAN, AL)",CONAERO,UNITED STATES,USA,07-Sep-1989,05-09-2024
CNS,"COBALT AIR, LLC (PORTSMOUTH NH)",CHRONOS,UNITED STATES,USA,12-Dec-2011,05-09-2024
...,MINNESOTA MINING AND MANUFACTURING COMPANY,MINING,UNITED STATES,USA,07-Sep-1989,05-09-2024
...,COWAN GROUP,COWAN,UNITED STATES,USA,18-Dec-2008,05-09-2024
...,DEPARTMENT OF THE NAVY (VAQ-209),VADER,UNITED STATES,USA,21-Jul-2009,05-09-2024
...,"BLUE CITY HOLDINGS, LLC (MOFFETT FIELD, CA)",AIR SAMPLE,UNITED STATES,USA,02-Jun-2011,05-09-2024
AAH,"AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU, HI)",ALOHA,UNITED STATES,USA,04-Jul-2011,05-09-2024
AAI,"AIR AURORA, INC. (SUGAR GROVE, IL)",BOREALIS,UNITED STATES,USA,07-Sep-1989,05-09-2024
AAK,"ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)",ALASKA ISLAND,UNITED STATES,USA,10-Sep-1992,05-09-2024
AAL,AMERICAN AIRLINES INC.,AMERICAN,UNITED STATES,USA,07-Sep-1989,05-09-2024
AAY,"ALLEGIANT AIR, INC. (FRESNO, CA)",ALLEGIANT ,UNITED STATES,USA,18-Nov-1999,05-09-2024
AER,"ALASKA CENTRAL EXPRESS, INC. (FAIRBANKS, AK)",ACE AIR,UNITED STATES,USA,08-Dec-1994,05-09-2024
AIO,"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)",AIR CHIEF,UNITED STATES,USA,28-Aug-2001,05-09-2024
AIP,"ALPINE AVIATION, INC. (PROVO, UT)",ALPINE AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
AIR,AIRLIFT INTERNATIONAL INC.,AIRLIFT,UNITED STATES,USA,07-Sep-1989,05-09-2024
AJC,"BAR HARBOR AIRLINES (BANGOR, ME)",BAR HARBOR,UNITED STATES,USA,07-Sep-1989,05-09-2024
AJI,"AMERISTAR JET CHARTER, INC. (DALLAS, TX)",AMERISTAR,UNITED STATES,USA,23-Sep-1996,05-09-2024
ARB,AIRBAHN,AIRBAHN,UNITED STATES,USA,22-Oct-2019,05-09-2024
ARC,AIR ROUTING INTERNATIONAL LP,-,UNITED STATES,USA,15-Nov-2018,05-09-2024
ARF,ANIMAL RESCUE FLIGHTS,ANIMAL FLIGHTS,UNITED STATES,USA,01-Oct-2010,05-09-2024
ARR,AVALAIR AIRCRAFT MANAGEMENT LLC,AVALAIR,UNITED STATES,USA,04-Oct-2023,05-09-2024
ARX,"AIR XPRESS, INC, (GREENSBORO, NC)",AIREX,UNITED STATES,USA,07-Sep-1989,05-09-2024
ARZ,AIRBORNE IMAGING,AIRBORNE,UNITED STATES,USA,17-Jan-2022,05-09-2024
ASA,ALASKA AIRLINES INC.,ALASKA,UNITED STATES,USA,07-Sep-1989,05-09-2024
ASH,"MESA AVIATION SERVICES, INC. (FARMINGTON, NM)",AIR SHUTTLE,UNITED STATES,USA,11-Feb-1993,05-09-2024
ASI,"AEROGUARD FLIGHT TRAINING CENTER (PHOENIX, AZ)",AEROSUN,UNITED STATES,USA,11-May-2020,05-09-2024
AUU,AURORA FLIGHT SCIENCES,ARGO,UNITED STATES,USA,22-Nov-2019,05-09-2024
AVL,"AVIATION ADVENTURES (MANASSAS, VA)",SKY VENTURES,UNITED STATES,USA,20-May-2009,05-09-2024
AWF,"AEROFORWARD, LLC (LAS VEGAS, NV)",-,UNITED STATES,USA,08-Jan-2014,05-09-2024
AWI,"AIR WISCONSIN AIRLINES CORPORATION (APPLETON, WI)",WISCONSIN,UNITED STATES,USA,11-May-2010,05-09-2024
BEN,"SCHWEITZER ENGINEERING LABORATORIES, INC.",FRANKLIN,UNITED STATES,USA,15-May-2020,05-09-2024
BEZ,"KINGFISHER AIR SERVICES (SAN JUAN, PR)",SEA BREEZE,UNITED STATES,USA,16-Apr-2002,05-09-2024
BFC,"BASLER FLIGHT SERVICE, INC. (OSHKOSH, WI)",BASLER,UNITED STATES,USA,07-Sep-1989,05-09-2024
BGB,BIG BEND COMMUNITY COLLEGE,BIG BEND,UNITED STATES,USA,09-Apr-2018,05-09-2024
BGE,AEROBRIDGE,AEROBRIDGE,UNITED STATES,USA,28-Apr-2020,05-09-2024
BGR,BRIDGER AEROSPACE,BRIDGER,UNITED STATES,USA,02-Nov-2018,05-09-2024
BRG,"BERING AIR, INC. (NOME, AK)",BERING AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
BRN,"ECLIPSE AIRLINES, INC. D/B/A BRANSON  AIRLINES, INC. (CHANTILLY, VA)",BRANSON,UNITED STATES,USA,09-Jul-1993,05-09-2024
BRR,"MOUNTAIN AIR SERVICE, INC (BIG BEAR CITY, CA)",MOUNTAIN AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
BSK,"MIAMI AIR INTERNATIONAL, INC. (MIAMI, FL)",BISCAYNE,UNITED STATES,USA,09-Dec-1991,05-09-2024
BST,LONE STAR AVIATORS,BIG STATE,UNITED STATES,USA,29-Aug-2023,05-09-2024
BSY,"BIG SKY AIRLINES (BILLINGS, MT)",BIG SKY,UNITED STATES,USA,07-Sep-1989,05-09-2024
BTB,AIR NATIONAL GUARDS 158 FIGHTER WING,-,UNITED STATES,USA,11-May-2007,05-09-2024
BTL,"BALTIA AIR LINES, INC. (JAMAICA, NY)",BALTIA,UNITED STATES,USA,09-Feb-2015,05-09-2024
BTQ,BOUTIQUE AIR,BOUTIQUE,UNITED STATES,USA,14-Nov-2014,05-09-2024
CEA,"CORPORATE EXPRESS AIRLINES (NASHVILLE, TN)",CORP-X,UNITED STATES,USA,24-Mar-1997,05-09-2024
CEP,"CHIPOLA AVIATION, INC. (MARIANNA, FL)",CHIPOLA,UNITED STATES,USA,18-Oct-2000,05-09-2024
CFR,"CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION (MCCLELLAN, CA)",CALFIRE,UNITED STATES,USA,10-Aug-2017,05-09-2024
CFS,"EMPIRE AIRLINES (HAYDEN LAKE, UT)",EMPIRE AIR,UNITED STATES,USA,12-Jul-2012,05-09-2024
CFT,"JET FREIGHTERS, INC. (PORTLAND, ME)",CASPER FREIGHT,UNITED STATES,USA,17-Jun-1993,05-09-2024
CGA,"CONGRESSIONAL AIR, LTD (GAITHERSBURG, MD)",CONGRESSIONAL,UNITED STATES,USA,07-Sep-1989,05-09-2024
CGD,"CHARLOTTE, NC AIR NATIONAL GUARD (CHARLOTTE, NC)",-,UNITED STATES,USA,10-Mar-1995,05-09-2024
CRE,"JET OUT, LLC",CREAM CITY,UNITED STATES,USA,18-Nov-2019,05-09-2024
CRO,"CROWN AIRWAYS, INC. (DUBOIS, PA)",CROWN AIRWAYS,UNITED STATES,USA,07-Sep-1989,05-09-2024
CSB,"21-AIR, LLC",CARGO SOUTH,UNITED STATES,USA,15-Aug-2016,05-09-2024
CSD,"COURIER SERVICES, INC. (TEMPE, AZ)",DELIVERY,UNITED STATES,USA,07-Sep-1989,05-09-2024
CSI,"CSI AVIATION, INC.",SANDIA,UNITED STATES,USA,15-Apr-2019,05-09-2024
CSJ,"CASTLE AVIATION, INC. (RAVENNA, OH)",CASTLE,UNITED STATES,USA,19-Aug-1992,05-09-2024
CSK,"FLIGHTCRAFT, INC. (PORTLAND, OR)",CASCADE,UNITED STATES,USA,23-Oct-1998,05-09-2024
CSL,"MINSON AVIATION, INC. D/B/A CALIFORNIA AIR  SHUTTLE (OXNARD, CA)",CALIFORNIA SHUTTLE,UNITED STATES,USA,08-May-1990,05-09-2024
CSO,"CASINO AIRLINES, INC. (SHREVEPORT, LA)",CASAIR,UNITED STATES,USA,20-Apr-1998,05-09-2024
CSP,"CASPER AIR SERVICE,INC.(CASPER, WY)",CASPER AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
CSQ,"IBC AIRWAYS, INC. (MIAMI, FL)",CHASQUI,UNITED STATES,USA,29-Jun-1999,05-09-2024
CYT,CRYSTAL AIR,CRYSTAL AIR,UNITED STATES,USA,31-Oct-2017,05-09-2024
DAA,"DECATUR AVIATION, INC. (DECATUR, IL)",DECUR,UNITED STATES,USA,07-Sep-1989,05-09-2024
DAL,"DELTA AIR LINES, INC.",DELTA,UNITED STATES,USA,07-Sep-1989,05-09-2024
DAZ,DESERT AIR TRANSPORT INC,DEZERT AIR,UNITED STATES,USA,30-Nov-2023,05-09-2024
DBA,"AIR ALPHA, INC. (CINCINNATI, OH)",DOUBLE-A,UNITED STATES,USA,17-Jan-1992,05-09-2024
DBC,"GEMINI AIR GROUP, INC. (SCOTTSDALE, AZ)",DIAMOND BACK,UNITED STATES,USA,10-Oct-2014,05-09-2024
DOD,USAF AIR MOBILITY OPERATIONS CONTROL CENTER,-,UNITED STATES,USA,08-Oct-1998,05-09-2024
DOI,"U.S. DEPARTMENT OF THE INTERIOR, OFFICE OF AIRCRAFT SERVICES, (BOISE, ID)",INTERIOR,UNITED STATES,USA,09-Feb-2004,05-09-2024
DOJ,"UNITED STATES DEPARTMENT OF JUSTICE PRISONER AND ALIEN TRANSPORTATION SERVICE (JPATS) (EL PASO, TX)",JUSTICE,UNITED STATES,USA,22-Apr-2003,05-09-2024
DOL,"EBSCO, INC. D/B/A MILLION AIR LONGVIEW (LONGVIEW, TX)",DOLLAR SIGN,UNITED STATES,USA,07-Sep-1989,05-09-2024
DOW,"BEST JETS INTERNATIONAL (MINNEAPOLIS, MN)",DOWNTOWN,UNITED STATES,USA,20-Apr-2012,05-09-2024
DPS,"ALABAMA DEPARTMENT OF PUBLIC SAFETY (MONTGOMERY, AL)",BLUE-GRAY,UNITED STATES,USA,08-Dec-2006,05-09-2024
DRE,"MICHIGAN AIRWAYS, INC. D/B/A DRUMMOND ISLAND AIR  (DRUMMOND ISLAND, MI)",MICHIGAN,UNITED STATES,USA,22-Jan-1990,05-09-2024
DRL,"OMNI AIR TRANSPORT, LLC (TULSA, OK)",DRILLER,UNITED STATES,USA,15-May-2013,05-09-2024
DRS,"DREAMSHORE AERO (BAR HARBOR, ME)",DREAMSHORE,UNITED STATES,USA,24-Jul-2012,05-09-2024
DSA,"DANBURY AIRWAYS, INC. (DANBURY, CT)",DANBURY AIRWAYS,UNITED STATES,USA,07-Sep-1989,05-09-2024
DSU,"DELTA STATE UNIVERSITY (CLEVELAND, MS)",DELTA STATE,UNITED STATES,USA,29-Oct-2004,05-09-2024
EFT,"EXECUFLIGHT, INC. (FORT LAUDERDALE, FL)",ZIPLINE,UNITED STATES,USA,02-Apr-2013,05-09-2024
EGC,"FIRST WING AIRCRAFT CHARTER AND MAINTENANCE (INDIANAPOLIS, IN)",EAGLE CREEK,UNITED STATES,USA,19-Jun-2012,05-09-2024
EGE,EAGLE AIR INC,EAGLE AIR,UNITED STATES,USA,13-Dec-2023,05-09-2024
EGS,"NATIONAL JETS, INC.",EVERGLADES,UNITED STATES,USA,25-Oct-2017,05-09-2024
EHD,"E H DARBY AVIATION (SHEFFIELD, AL)",PLATINUM AIR,UNITED STATES,USA,07-Jun-1996,05-09-2024
EIA,EVERGREEN INTERNATIONAL AIRLINES,EVERGREEN,UNITED STATES,USA,07-Sep-1989,05-09-2024
EJA,"NETJETS AVIATION, INC. (COLUMBUS, OH)",EXECJET,UNITED STATES,USA,06-Sep-2002,05-09-2024
EJM,"EXECUTIVE JET  MANAGEMENT, INC. (CINCINNATI, OH)",JET SPEED,UNITED STATES,USA,18-Dec-2001,05-09-2024
ERH,"ERA HELICOPTERS (LAKE CHARLES, LA)",ERA,UNITED STATES,USA,23-Jan-2020,05-09-2024
ERU,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,RIDDLE,UNITED STATES,USA,30-Mar-2020,05-09-2024
ERY,SKY QUEST,ERIE SHORE,UNITED STATES,USA,01-May-2017,05-09-2024
ETA,"ZETTA JET USA, INC.",TIME MACHINE,UNITED STATES,USA,09-Dec-2016,05-09-2024
ETL,"PATTERSON AVIATION COMPANY (SACRAMENTO, CA)",ENTEL,UNITED STATES,USA,08-Feb-1993,05-09-2024
FBW,"AVIATION DATA SYSTEMS, INC. (ORLANDO, FL)",-,UNITED STATES,USA,03-Mar-2006,05-09-2024
FCE,"MAXAIR CHARTER, INC DBA FLIGHT CHOICE",FLIGHT CHOICE,UNITED STATES,USA,14-Jul-2023,05-09-2024
FCJ,"AIRSPRINT US, INC. (SCOTTSDALE, AZ)",FRACJET,UNITED STATES,USA,08-Jan-2014,05-09-2024
FCL,"FLORIDA COASTAL AIRLINES, INC. (FORT PIERCE, FL)",FLORIDA COASTAL,UNITED STATES,USA,03-Jul-2003,05-09-2024
FDJ,FREEDOM AIR LLC,FREEDOM JET,UNITED STATES,USA,12-Aug-2020,05-09-2024
FDL,"FARMINGDALE STATE UNIVERSITY  (FARMINGDALE, NY)",FARMINGDALE STATE,UNITED STATES,USA,23-Jun-2004,05-09-2024
FDM,"FREEDOM AIRLINES, INC. (BINGHAMTON, NY)",LIBERTY,UNITED STATES,USA,07-Sep-1989,05-09-2024
FDX,FEDERAL EXPRESS CORPORATION,FEDEX,UNITED STATES,USA,20-Nov-2017,05-09-2024
FDY,"SUN AIR EXPRESS, LLC (FT. LAUDERDALE, FL)",FRIENDLY,UNITED STATES,USA,03-Oct-2011,05-09-2024
FNX,FENIX AIR CHARTER,CRESCENT,UNITED STATES,USA,25-Jan-2018,05-09-2024
FOI,"FLIGHT OPS INTERNATIONAL (JAMAICA, NY)",-,UNITED STATES,USA,27-Jul-1994,05-09-2024
FPC,"FLIGHT PRO INTERNATIONAL, LLC",PRO CONNECT,UNITED STATES,USA,16-Nov-2020,05-09-2024
FRD,"FORD MOTOR COMPANY (DETROIT, MI)",FORD,UNITED STATES,USA,07-Sep-1989,05-09-2024
FRE,"BOEING TACTICAL (ST.LOUIS, MO)",FREEDOM,UNITED STATES,USA,17-Jan-2020,05-09-2024
FRG,"FREIGHT RUNNERS EXPRESS, INC. (MILWAUKEE, WI)",FREIGHT RUNNERS,UNITED STATES,USA,17-Jun-1993,05-09-2024
GAJ,"GAMA AVIATION, LLC (SHELTON, CT)",GAMA JET,UNITED STATES,USA,15-Mar-2019,05-09-2024
GAS,"GALENA AIR SERVICE (GALENA, AK)",GALENA AIR SERVICE,UNITED STATES,USA,07-Sep-1989,05-09-2024
GAT,"GULF AIR INC. (NEW IBERIA, LA)",GULF TRANS,UNITED STATES,USA,07-Sep-1989,05-09-2024
GAX,"FULL EXPRESS, INC. (SWANTON, OH)",GRAND AIRE,UNITED STATES,USA,19-Jul-2000,05-09-2024
GBR,"RADER AVIATION, INC. (WHITE SULFER SPRINGS, WV)",GREENBRIER AIR,UNITED STATES,USA,13-May-1993,05-09-2024
GBX,"GB AIRLINK, INC. (FT. LAUDERDALE, FL)",GEEBEE LINK,UNITED STATES,USA,02-Feb-2010,05-09-2024
GMH,"HUGHES FLYING SERVICE, INC. (MIAMI, FL)",HUGHES,UNITED STATES,USA,11-Aug-2010,05-09-2024
GMN,"GARMIN, INC.",GARMIN,UNITED STATES,USA,14-Sep-2018,05-09-2024
GND,"GRAND AIRWAYS, INC. (LAS VEGAS, NV)",GRAND VEGAS,UNITED STATES,USA,25-Feb-1994,05-09-2024
GPA,"KINGMAN AVIATION, INC. D/B/A GOLDEN  PACIFIC AIRLINES (KINGMAN, AZ)",GOLD PAC,UNITED STATES,USA,07-Sep-1989,05-09-2024
GPD,"TRADEWIND AVIATION LLC (OXFORD, CT)",GOODSPEED,UNITED STATES,USA,14-Sep-2005,05-09-2024
GRB,"PHOENIX AIR GROUP, INC. (CARTERSVILLE, GA)",GRAY BIRD,UNITED STATES,USA,22-Jul-2021,05-09-2024
GRC,"GRACE FLIGHT OF AMERICA (ADDISON, TX)",GRACE FLIGHT,UNITED STATES,USA,18-Jun-2008,05-09-2024
HBA,"TRAIL LAKE FLYING SERVICE, INC. D/B/A  HARBOR AIR (SEWARD, AK)",HARBOR AIR,UNITED STATES,USA,08-May-1990,05-09-2024
HCA,"LAKE HAVASU AIR SERVICE (LAKE HAVASU CITY, AZ)",HAVASU,UNITED STATES,USA,07-Sep-1989,05-09-2024
HDM,HARLEY-DAVISON MOTOR COMPANY,HOG,UNITED STATES,USA,21-Dec-2015,05-09-2024
HNW,HONEYWELL INTERNATIONAL INC.,HONEYWELL,UNITED STATES,USA,22-Oct-2019,05-09-2024
HOB,HL AIRCRAFT LLC,HOBBY JET,UNITED STATES,USA,16-Jun-2021,05-09-2024
HOL,"HOLIDAY AIRLINES, INC. (MORRISTOWN, NJ)",HOLIDAY,UNITED STATES,USA,07-Sep-1989,05-09-2024
HON,"HONDA AIRCRAFT COMPANY, INC. (GREENSBORO, NC)",HONDA TEST,UNITED STATES,USA,02-Feb-2011,05-09-2024
HPE,"IMPERATIVE PRODUCTIONS, LLC",HOPE AIR,UNITED STATES,USA,07-Mar-2017,05-09-2024
HPJ,"HOP-A-JET, INC. (FT. LAUDERDALE, FL)",HOPA-JET,UNITED STATES,USA,18-Jan-2000,05-09-2024
HPK,"HOPSCOTCH AIR, INC. (FARMINGDALE, NY)",HOPSCOTCH AIR,UNITED STATES,USA,04-Aug-2011,05-09-2024
HPN,AIRDIALOG,HARPOON,UNITED STATES,USA,15-Apr-2021,05-09-2024
HPP,"AVIATION PARTNER OF BOYTON BEACH, LLC D/B/A SKY ATLANTIC",SKY HOP,UNITED STATES,USA,22-Jul-2021,05-09-2024
HRC,"HARCO AVIATION (HOUSTON, TX) ",HARCO,UNITED STATES,USA,28-Dec-2011,05-09-2024
HRD,MARSHALL UNIVERSITY BILL NOE FLIGHT SCHOOL,MARSHALL HERD,UNITED STATES,USA,21-Dec-2022,05-09-2024
HRF,"VETERANS AIRLIFT COMMAND (ST. LOUIS PARK, MN)",HERO-FLIGHT,UNITED STATES,USA,06-Dec-2007,05-09-2024
HRS,PURSUIT AVIATION,HORSEMEN,UNITED STATES,USA,15-Aug-2016,05-09-2024
IAR,"ILIAMNA AIR TAXI INC. (ILIAMNA, AK)",ILIAMNA AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
IBG,"SPRINGFIELD AIR (Kansas City, MO)",ICE BRIDGE,UNITED STATES,USA,14-Jul-2014,05-09-2024
ICR,"EAGLE AERO, INC. (SCOTIA, NY)",ICARUS FLIGHTS,UNITED STATES,USA,18-Sep-1995,05-09-2024
IDD,"ALBERTSONS, LLC",IDA,UNITED STATES,USA,22-Nov-2019,05-09-2024
IRO,"CSA AIR, INC. (IRON MOUNTAIN, MI)",IRON AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
ISA,"ISLAND AIRLINES, INC. (NANTUCKET, MA)",ISLAND,UNITED STATES,USA,09-Apr-1992,05-09-2024
ISH,ISLAND WINGS INC,ISLAND HOP,UNITED STATES,USA,22-Jul-2021,05-09-2024
ISU,INDIANA STATE UNIVERSITY,INDY STATE,UNITED STATES,USA,25-Aug-2023,05-09-2024
ITA,"INTER-AIR, INC. (DENVER, CO)",CAFEX,UNITED STATES,USA,07-Sep-1989,05-09-2024
ITM,"TAB ASSOCIATES, INC. DBA ISLAND TYME",ISLAND TYME,UNITED STATES,USA,10-Jul-2018,05-09-2024
JTL,"JET LINX AVIATION, LLC (OMAHA, NE)",JET LINX,UNITED STATES,USA,19-Jan-2012,05-09-2024
JTM,"EAST COAST FLIGHT SERVICES, INC.",JET COAST,UNITED STATES,USA,24-Mar-2016,05-09-2024
JTN,JET TEST INTL.,JET TEST,UNITED STATES,USA,05-Nov-2021,05-09-2024
